대외활동명,포스터,주최,주관,접수기간,분야,응모대상,혜택
올콘리틀짹짹이 14차모집,/data/poster/2301/490434.png?v=1716768888,한국경제신문 올콘,한국경제신문 올콘,24.01.01 ~ 25.12.31,서포터즈·기자단·마케터,제한없음,올콘에서 진행하는 대외활동 선발 시 가산점 부여/ 심층정보제공
오설록 티 크리에이터 2기 모집,/data/poster/2301/490435.PNG?v=1672729601,(주)오설록,(주)오설록,23.01.02 ~ 23.01.20,서포터즈·기자단·마케터,제한없음,"오설록 신규 제품 기획, 개발 단계 참여 外"
'2023 공연봄날' 공연단체 모집 공고,/data/poster/2301/490436.png?v=1672732327,서울시,서울시,22.12.23 ~ 23.01.13,"기타(예체능, e스포츠 등)",기타,실제 공연으로 진행될 예정
제7회 비상교육 창의융합 수업자료 공모전,/data/poster/2301/490437.jpg?v=1672730562,비상교육,비상교육,22.12.01 ~ 23.01.20,아이디어·창업·네이밍,기타,"총상금 1,100만원 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 신춘문예 샘문학상 공모전,/data/poster/2301/490444.jpg?v=1672734075,샘문뉴스,사단법인 문학그룹샘문,23.01.02 ~ 23.02.19,문학·학술·공학,"일반인, 대학생, 대학원생, 고등학생",본상부문 상금 500만원
(청소년)올콘리틀짹짹이 14차모집,/data/poster/2301/490445.png?v=1716768867,한국경제신문 올콘,한국경제신문 올콘,24.01.01 ~ 24.12.31,서포터즈·기자단·마케터,"초등학생, 중학생, 고등학생","올콘에서 진행하는 대외활동 선발 시 가산점 부여,심층정보제공"
'2023년 Global Big IN 액셀러레이팅 지원사업' 참여기업 모집 공고,/data/poster/2301/490446.png?v=1672735370,인천광역시,"인천창조경제혁신센터, 주식회사 더이노베이터스, 빅뱅엔젤스 주식회사",23.01.02 ~ 23.01.15,아이디어·창업·네이밍,제한없음,"기업당  500만원 ~ 2,000만원 사업화 자금 지원 外"
2023 제3회 픽사톤 영상 공모전,/data/poster/2301/490447.png?v=1672735575,(주) 스톡폴리오,(주) 스톡폴리오,23.01.01 ~ 23.01.31,사진·영상,제한없음,"영상 부문 1등 35만원, 모션 그래픽 부문 1등 35만원 外"
2023 대방청소년문화의집 'BUNKER' 자치활동단 모집,/data/poster/2301/490448.png?v=1672805034,대방청소년문화의집,대방청소년문화의집,23.01.03 ~ 23.02.15,서포터즈·기자단·마케터,"일반인, 대학생, 중학생, 고등학생",봉사활동 증명서 발급 外
2023년 제14기 DGB대구은행 대학생 홍보대사 모집,/data/poster/2301/490449.jpg?v=1672796943,DGB대구은행,DGB대구은행,22.12.28 ~ 23.01.11,서포터즈·기자단·마케터,대학생,"우수 활동자 DGB대구은행 입행 지원 시 우대, 해외 연수 특전 外"
2023년 영상작가전문교육원 61기 수강생 모집,/data/poster/2301/490450.jpg?v=1672790937,영상작가전문교육원,영상작가전문교육원,22.12.15 ~ 23.01.27,기타(캠프/강연 등),제한없음,"제휴 병원 할인, 전자책 출판, 모니터링 지원"
인천유나이티드와 2023시즌을 함께 할 대학생 마케터 '스포일러' 5기 모집,/data/poster/2301/490451.jpg?v=1672791290,인천유나이티드,인천유나이티드,22.12.23 ~ 23.01.12,서포터즈·기자단·마케터,대학생,"구단 마케팅팀 실무 체험, 홈경기 참여 시, 실습비 제공 外"
2023년 농업연구과제 공모,/data/poster/2301/490452.jpg?v=1672791767,대산농촌재단,대산농촌재단,23.01.02 ~ 23.01.31,아이디어·창업·네이밍,제한없음,연구 지원금: 과제당 1000만~2000만 원
초록우산 어린이재단 경기남부가정위탁지원센터 온라인서포터즈 S팀 5기 모집,/data/poster/2301/490453.png?v=1672791954,초록우산 어린이재단 경기남부가정위탁지원센터,초록우산 어린이재단 경기남부가정위탁지원센터,23.01.02 ~ 23.01.15,서포터즈·기자단·마케터,"일반인, 대학생","수료증, 자원봉사시간 제공"
오펜O'PEN 스토리텔러 공모전,/data/poster/2301/490454.jpg?v=1672792198,CJ ENM,오펜,23.01.02 ~ 23.01.16,사진·영상,제한없음,"창작지원금 1천만원, 특강, 세미나, 워크숍, 현장취재 外"
푸고 공식서포터즈 28기 모집,/data/poster/2301/490455.jpg?v=1672792392,푸고,푸고,23.01.03 ~ 23.01.08,맘 서포터즈,주부 및 영유아,푸고 프리미엄 뉴트럴 시리즈 제품 2종&소모품
제로랩스 서포터즈 '댕인턴' 2기 모집,/data/poster/2301/490456.jpg?v=1672792798,제로랩스,제로랩스,23.01.03 ~ 23.01.15,서포터즈·기자단·마케터,기타,신제품 먼저 만나보기 外
데이콘 서포터즈 '데이크루(Dacrew)' 4기 모집,/data/poster/2301/490457.png?v=1672795167,데이콘,데이콘,22.12.26 ~ 23.01.06,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",우수 활동 4팀 시상 外
3차년도 도시재생연계리빙랩 사업 참가자 모집,/data/poster/2301/490458.png?v=1672795019,과학기술정보통신부,"대구가톨릭대학교, (재)대구테크노파크",23.01.02 ~ 23.01.13,기타(캠프/강연 등),"일반인, 대학생, 대학원생",활동 수료시(전체 활동 80% 참여) 수료증 및 '리빙랩 코디네이터' 자격증 수여 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 '낭만 있는 청년들의 감성글램핑' 자원봉사자 모집,/data/poster/2301/490460.png?v=1672798410,광주광역시,(사)광주광역시장애인재활협회,23.01.04 ~ 23.01.06,봉사활동,"일반인, 대학생, 대학원생","자원봉사시간 제공, 식사 및 기념품 제공"
해커스공기업 NCS 서포터즈 7기 모집,/data/poster/2301/490461.jpg?v=1672803600,해커스공기업,해커스공기업,23.01.03 ~ 23.01.15,서포터즈·기자단·마케터,제한없음,NCS 최신 강의 무료 제공 外
미국 고등학생들의 홈스테이 가정 모집,/data/poster/2301/490462.jpg?v=1673309096,미국 국무부,사단법인 더나은세상,23.01.02 ~ 23.01.15,봉사활동,"일반인, 주부 및 영유아, 기타",홈스테이 1명 당 지원금 지급
비전공자도 마케터 되는 8주 집중코스 '마케팅러너' 3기 모집,/data/poster/2301/490463.jpg?v=1672805000,그로스쿨,그로스쿨,23.01.05 ~ 23.01.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생",실제 마케팅 전략 수립 및 실행
﻿인재양성 HR연구소 전기차배터리 공정 탐방,/data/poster/2301/490464.gif?v=1672805221,산업통상자원부 / 경기대진테크노파크 / KIAT,산업통상자원부 / 경기대진테크노파크 / KIAT,23.01.04 ~ 23.01.12,기타(캠프/강연 등),대학생,전기차배터리 산업에 대한 실무정보 취득 外
발달장애인 디자인 아트 예술단 잇다 프렌즈 모집,/data/poster/2301/490465.jpg?v=1672805232,사회복지법인 성민,moosoohee,23.01.03 ~ 23.01.12,봉사활동,제한없음,"수료증, 봉사활동 시간, 식사제공, 기념품 증정"
체험실무현장 14기 콘텐츠 디자인 편,/data/poster/2301/490466.jpg?v=1673341923,고용노동부,(주)오픈놀,23.01.04 ~ 23.01.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생","수료증, 현직자 멘토링"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
취업준비생을 위한 달러의 이해 교육,/data/poster/2301/490468.png?v=1672806055,삼성금융네트웍스,삼성생명,23.01.03 ~ 23.01.06,기타(캠프/강연 등),"대학생, 대학원생, 기타",참가자 전원 스타벅스 상품권 지급
2023 울산관광기업지원센터 관광스타트업 창업 아카데미 및 아이디어톤 참가자 모집,/data/poster/2301/490469.png?v=1672810101,"문화체육관광부, 한국관광공사, 울산광역시","울산관광재단, 울산관광기업지원센터",22.12.28 ~ 23.01.25,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",대상 100만원 外
"클라우드 융합 자바 스프링 백엔드 개발자 1, 2월",/data/poster/2301/490470.jpg?v=1672809004,아이티윌 부산교육센터,고용노동부,23.01.04 ~ 23.02.20,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타","활동참여/활동비 지원, 기타(취업연계, 전액국비)"
2023 코리아+스웨덴 영디자인어워드,/data/poster/2301/490471.jpg?v=1673329610,"한국디자인진흥원, 주한스웨덴대사관, 이케아코리아","한국디자인진흥원, 주한스웨덴대사관, 이케아코리아",23.01.02 ~ 23.04.07,디자인·그림·웹툰,제한없음,스웨덴 디자인 견학 기회 제공(스웨덴 이케아 본사 방문 등) 外
프랑코 폰타나: 컬러 인 라이프 2차 서포터즈 모집,/data/poster/2301/490472.jpg?v=1672809640,(주)사야컴퍼니,(주)사야컴퍼니,23.01.02 ~ 23.01.16,서포터즈·기자단·마케터,제한없음,미션 수행을 위한 전시 무료 초대(동반 1인 포함) 外
비탈와인 1기 대학생 서포터즈 모집,/data/poster/2301/490473.jpg?v=1672810414,비탈와인,비탈와인,23.01.01 ~ 23.01.31,서포터즈·기자단·마케터,대학생,월 1~3명 비탈 와인 제공 外
위올라잇 원고 투고 대행 공모,/data/poster/2301/490474.jpg?v=1672812612,주식회사 키픽스,주식회사 키픽스,23.01.04 ~ 23.01.13,문학·학술·공학,제한없음,원고 투고 대행
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
서울산업진흥원 ‘서울 중소기업 워케이션 프로젝트’ 슬로건 공모전,/data/poster/2301/490476.jpg?v=1672994788,서울산업진흥원,서울산업진흥원,23.01.02 ~ 23.01.25,아이디어·창업·네이밍,제한없음,1등 상금 100만원 및 최우수 기관 표창(1명) 外
엑센트리로켓단 스타트업 밸류업 프로그램 수혜기업 모집,/data/poster/2301/490477.jpg?v=1672813004,엑센트리벤처스,엑센트리벤처스,23.01.04 ~ 23.01.13,"기타(예체능, e스포츠 등)",기타,
24회 무영신인문학상 공모,/data/poster/2301/490478.jpg?v=1672813408,동양일보,동양일보,23.01.04 ~ 23.02.28,문학·학술·공학,기타,상금 500만원
춘천종합사회복지관 2023년 홍보단 '다울이' 서포터즈 모집,/data/poster/2301/490479.png?v=1672819515,춘천종합사회복지관,춘천종합사회복지관,23.01.03 ~ 23.02.10,서포터즈·기자단·마케터,기타,VMS 봉사시간 부여 外
엽기떡볶이 미스터리 쇼퍼 엽떡크루 3기 모집,/data/poster/2301/490480.jpg?v=1672972671,엽기떡볶이,엽기떡볶이,23.01.04 ~ 23.01.15,체험단·모니터링·인턴십,제한없음,웰컴 키트 제공(캐릭터 굿즈 포함) 外
엽기떡볶이 서포터즈 엽포터즈 5기 모집,/data/poster/2301/490481.jpg?v=1672972694,엽기떡볶이,엽기떡볶이,23.01.04 ~ 23.01.15,서포터즈·기자단·마케터,제한없음,"매월 엽기떡볶이 앱 전용 쿠폰(14,000원) 4장 제공 外"
후디스 '소화 편한 우유' 체험단 모집,/data/poster/2301/490482.jpg?v=1672822809,후디스 라이프,후디스 라이프,23.01.04 ~ 23.01.13,체험단·모니터링·인턴십,제한없음,소화 편한 우유 바나나1Box(24개입)
달리코칭 서포터즈 2기 모집,/data/poster/2301/490483.jpg?v=1672821350,달리코칭,달리코칭,23.01.04 ~ 23.01.26,서포터즈·기자단·마케터,주부 및 영유아,온라인 1:1 자녀 양육코팅 체험(총 6회) 外
제13회 광주펫쇼 서포터즈 모집,/data/poster/2301/490484.jpg?v=1672821845,광주펫쇼,광주펫쇼,23.01.02 ~ 23.01.08,서포터즈·기자단·마케터,제한없음,<제13회 광주펫쇼> 무료입장권 20매 外
논리의탑 팩트체크 프로젝트 팀원 모집,/data/poster/2301/490485.png?v=1672877040,논리의탑 프로젝트,논리의탑 프로젝트,23.01.04 ~ 23.02.04,기타(캠프/강연 등),제한없음,개인 역량 증대
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
