공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
한국스마트정보교육원 24년 상반기 SW개발 공모전 (SW개발아이디어 및 결과물),/data/poster/2401/509068.png?v=1706602852,한국스마트정보교육원,한국스마트정보교육원,24.01.30 ~ 24.06.28,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",상장 및 상금 (1등(최우수상) / 2등(우수상) / 3등(장려상))
다음 항목에 오류가 있습니다.,,,,,,,
위치 공유 SNS '하이핀' 서포터즈 모집,/data/poster/2401/509070.png?v=1707196461,아이나비시스템즈,아이나비시스템즈,24.01.31 ~ 24.02.12,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","수료자 전원 수료증 제공, 우수활동자 시상 및 경품 제공, 최우수활동자 인턴 채용 기회 부여"
부디 앙상블X연극 공모사업 <음악극 '귀신 나무와 석주 이상룡'> 배우 모집,/data/poster/2401/509071.png?v=1706660760,부디 앙상블 (Budi Ensemble),부디 앙상블 (Budi Ensemble),24.01.31 ~ 24.02.04,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 고등학생","공모 사업 채택 시 약 2년 동안 최소 2회 이상 공연, 다양한 매체 활동 기회 제공"
2024 인천광역시교육청 진로교육센터 대학생지원단 모집,/data/poster/2401/509072.jpg?v=1706659275,인천광역시교육청 진로교육센터,인천광역시교육청 진로교육센터,24.01.30 ~ 24.02.12,봉사활동,대학생,"대학생지원단 위촉장, 수료증 제공, 소정의 활동비, 자원봉사시간 지급 外"
2024 경주문화재단 시민 SNS 서포터즈 모집,/data/poster/2401/509073.png?v=1706659472,경주시,(재)경주문화재단,24.01.29 ~ 24.02.13,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생","매월 소정의 활동비 지급, 활동증명서 및 (재)경주문화재단 감사장 수여 外"
LG전자 샛별자문단 3기 모집,/data/poster/2401/509074.jpg?v=1706659770,LG전자,LG전자,24.01.30 ~ 24.02.12,서포터즈·기자단·마케터,대학생,"월별 개인 활동비, 웰컴 키트, 활동 증명서, 사내 행사 초청, 임직원과의 네트워킹 등"
강남세움복지관 2024 장애인식개선 대학생기획단 모집,/data/poster/2401/509075.png?v=1706660949,강남세움복지관,지역참여팀,24.01.26 ~ 24.02.16,서포터즈·기자단·마케터,대학생,"봉사시간(VMS, 1365) 등록, 연말 우수 자원봉사자 시상, 기획단 수료증 발급(전체 활동 80%이상 참여시)"
인천업사이클에코센터 사업팀 팀원 계약직 채용 공고,/data/poster/2401/509076.jpg?v=1706659996,인천업사이클에코센터,인천업사이클에코센터,24.01.29 ~ 24.02.11,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",급여 제공
2024 스스로넷 청소년미디어동아리 모집,/data/poster/2401/509077.png?v=1706660252,스스로넷,스스로넷,24.01.31 ~ 24.02.29,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 중학생, 고등학생","공간 대관비, 미디어 장비 대여 무료 (월 30만원 상당) 外"
삼성생명 2월 SFP직무설명회 모집,/data/poster/2401/509078.png?v=1706663484,삼성생명,삼성생명,24.01.30 ~ 24.02.03,기타(캠프/강연 등),"일반인, 대학생, 대학원생",실무관리자에게 듣는 실전 경험
관악구가족센터 온가족보듬사업 학습정서지원인력(배움지도사) 신규 멘토 모집,/data/poster/2401/509079.png?v=1706663335,관악구가족센터,관악구가족센터,24.01.22 ~ 24.02.04,봉사활동,"일반인, 대학생, 대학원생, 주부 및 영유아","활동비 지급, 대면수업 시 교통비 지급, 교재비 및 교구비 지원 등"
2024년 도민PD 및  충북 미디어크리에이터 모집,/data/poster/2401/509080.jpg?v=1706668504,충북과학기술혁신원,충북과학기술혁신원,24.02.01 ~ 24.02.18,서포터즈·기자단·마케터,제한없음,"도민PD 및 충북 미디어크리에이터 위촉장 수여, 도민PD 및 충북 미디어크리에이터 ID카드(신분증) 발급 外"
